Neighborhood Tabulation Area (NTA) (2020),Total Jobs Created,Avg Total Savings
BK0101,16.0,10367.961794871795
BK0104,187.0,21158.253076923076
BK0202,0.0,74011.2558974359
BK0261,0.0,12876.958499999999
BK0301,8.0,57934.14166666666
BK0502,0.0,13810.223333333333
BK0503,415.0,62669.078888888886
BK0601,97.0,25358.179523809526
BK0702,92.0,17596.18857142857
BK0802,0.0,3620.966590909091
BK1602,55.0,-3744.1044444444437
BX0101,106.0,17226.212931034483
BX0201,133.0,21078.529495798317
BX1001,20.0,10510.395882352941
MN0101,0.0,431063.85866666667
MN0102,4.0,47655.74800000001
MN0902,10.0,2398.261224489796
MN1102,8.0,8909.400625
QN0101,100.0,14292.983783783784
QN0103,2.0,14084.895625
QN0104,23.0,25843.476363636364
QN0105,105.0,59201.95804597701
QN0161,0.0,2489.384
QN0201,78.0,27410.526875000003
QN0202,125.0,13586.924022988505
QN0203,10.0,6549.47090909091
QN0501,195.0,13278.137101449274
QN0502,3.0,11908.803529411765
QN0701,120.0,33604.16977272727
QN0904,0.0,1739.5158333333336
QN1306,0.0,21160.5052
